,Area Visited,Total 2020,Domestic 2020-2,International 2020-2,Total 2021,Domestic 2021-2,International 2021-2
6,Area visited,Total,Domestic,Inter-national,Total,Domestic,Inter-national
8,State total ,2678072.8614460495,2065688.8614623898,612383.9999999714,6777760.26323734,6656779.263237346,120980.99999999994
10,Oahu,1506315.6596533565,998148.5239437215,508167.13571779197,3326622.0925273355,3250595.6752653,76026.41726191902
11,Kauai,330262.66706633684,295842.75592386024,34419.91114235895,813647.3179196885,807657.8176036607,5989.500316026528
12,Maui County,807308.4195733803,706498.581753793,100809.83781997516,2340914.931979049,2298907.580888579,42007.3510905085
13,Maui,792601.6936544611,693197.3208853989,99404.3727692982,2303941.5175422006,2262136.9507766734,41804.56676556427
14,Molokai,17024.986222275405,12998.553311018284,4026.4329112574555,25758.390802916816,25507.85710290552,250.5337000112916
15,Lanai,17924.02219887385,15488.98345031493,2435.038748559482,47829.24512950766,47290.640173127715,538.6049563799562
16,Hawaii Island,493817.02141492587,402529.63208271185,91287.38933208477,1183457.9983569677,1172729.1050420576,10728.893314907164
17,Hilo,155032.7415145995,124359.79335358462,30672.948160986416,293832.71112681367,291467.3981430316,2365.3129837816878
18,Kona,433193.99224500085,352567.6338738751,80626.35837106167,1064571.4394331747,1054542.7408801536,10028.698553019045
19,One island only,2311925.464448809,1797842.1497844488,514083.3146625674,5990063.982127829,5880593.106089571,109470.87603821314
20,Oahu only,1212897.0328081814,794044.1153308006,418852.91747646924,2737924.6613453617,2671018.3570087594,66906.3043365032
