3,Year,Average daily room rate 1/ (dollars)
5,1991,101.89
6,1992,105.59
7,1993,103.26
8,1994,105.46
9,1995,109.39
10,1996,116.79
11,1997,124.96
12,1998,129.66
13,1999,131.66
15,2000,140.63
16,2001,144.88
17,2002,140.89
18,2003,144.16
19,2004,152.17
20,2005,166.16
21,2006,187.19
22,2007,199.96
23,2008,201.85
24,2009,177.1
26,2010,174.84
27,2011,189.83
28,2012,204.93
29,2013,229.9
30,2014,234.85
31,2015,244.64
32,2016,254.03
33,2017,264.49
34,2018,278.07
35,2019,283.052856040276
36,2020,266.81
37,2021,328.68
